country_code,year,illiterate_prop,age_group,sex
90,1975,30.714085926945437,20--39,Both
90,1980,27.785707443857834,20--39,Both
90,1985,25.11698290734997,20--39,Both
90,1990,22.704518517308326,20--39,Both
90,1995,20.491445646029867,20--39,Both
90,2000,18.39381835745437,20--39,Both
90,2005,16.36762688893256,20--39,Both
90,2010,14.368861477815145,20--39,Both
90,2015,12.353512361452854,20--39,Both
90,2020,9.291622548488382,20--39,Both
90,2025,6.940970799415858,20--39,Both
100,1970,7.026514700426182,20--39,Both
100,1975,5.65384574531701,20--39,Both
100,1980,4.461964751962756,20--39,Both
100,1985,3.452514155655914,20--39,Both
100,1990,2.6271363916889756,20--39,Both
100,1995,1.982553962064654,20--39,Both
100,2000,1.5109205047601855,20--39,Both
100,2005,1.207025159029851,20--39,Both
100,2010,1.0656570641279313,20--39,Both
100,2015,1.0816053593087076,20--39,Both
100,2020,0,20--39,Both
100,2025,0,20--39,Both
104,1970,25.89488934047137,20--39,Both
104,1975,21.897760311154393,20--39,Both
104,1980,18.59268119110379,20--39,Both
104,1985,15.966667527546457,20--39,Both
104,1990,14.006734867709298,20--39,Both
104,1995,12.770717310273591,20--39,Both
104,2000,12.369667057578722,20--39,Both
104,2005,12.870426812338765,20--39,Both
104,2010,14.339839277267775,20--39,Both
104,2015,16.844747155079826,20--39,Both
104,2020,10.722245826155987,20--39,Both
104,2025,9.661669960902081,20--39,Both
108,1970,74.93702352005722,20--39,Both
108,1975,70.78368502450594,20--39,Both
108,1980,66.4174342159941,20--39,Both
108,1985,61.8588176135745,20--39,Both
108,1990,57.128381736299914,20--39,Both
108,1995,52.251002128977035,20--39,Both
108,2000,47.2340445538814,20--39,Both
108,2005,42.07179085626899,20--39,Both
108,2010,36.75852288139579,20--39,Both
108,2015,31.288522474517826,20--39,Both
108,2020,27.35650383399226,20--39,Both
108,2025,22.49897316734585,20--39,Both
112,1970,1.9524629086349083,20--39,Both
112,1975,1.6670478909909043,20--39,Both
112,1980,1.399293262747944,20--39,Both
112,1985,1.1495386160702654,20--39,Both
112,1990,0.9181235431221076,20--39,Both
112,1995,0.7080596608344207,20--39,Both
112,2000,0.5243592725781906,20--39,Both
112,2005,0.37036300017770984,20--39,Both
112,2010,0.2494114654572705,20--39,Both
112,2015,0.16484529024116498,20--39,Both
112,2020,0,20--39,Both
112,2025,0,20--39,Both
116,1970,43.13379901382512,20--39,Both
116,1975,39.95884728945812,20--39,Both
116,1980,36.80189926064457,20--39,Both
116,1985,33.66276052337494,20--39,Both
116,1990,30.54123667363971,20--39,Both
116,1995,27.45763727346647,20--39,Both
116,2000,24.444635034159077,20--39,Both
116,2005,21.520580275622372,20--39,Both
116,2010,18.703823317761202,20--39,Both
116,2015,16.01271448048043,20--39,Both
116,2020,12.556476667746,20--39,Both
116,2025,9.52605545929197,20--39,Both
120,1970,66.17740713126385,20--39,Both
120,1975,56.6953116197928,20--39,Both
120,1980,48.47262680475318,20--39,Both
120,1985,41.52869819809649,20--39,Both
120,1990,35.88287131177422,20--39,Both
120,1995,31.520406637169092,20--39,Both
120,2000,28.38696828802528,20--39,Both
120,2005,26.442507209836446,20--39,Both
120,2010,25.64697434809623,20--39,Both
120,2015,25.96032064829829,20--39,Both
120,2020,14.230396165444986,20--39,Both
120,2025,9.786575610123949,20--39,Both
124,1970,1.5640276373959248,20--39,Both
124,1975,1.1813118120022577,20--39,Both
124,1980,0.8602303578422322,20--39,Both
124,1985,0.6008190526990801,20--39,Both
124,1990,0.4031136743560328,20--39,Both
124,1995,0.26527014052155334,20--39,Both
124,2000,0.1843030450604085,20--39,Both
124,2005,0.15853617999028477,20--39,Both
124,2010,0.18629333732886877,20--39,Both
124,2015,0.2658983090938472,20--39,Both
124,2020,0,20--39,Both
124,2025,0,20--39,Both
132,1970,59.51960956773071,20--39,Both
132,1975,52.6703115805298,20--39,Both
132,1980,46.19816965643646,20--39,Both
132,1985,40.10156787868544,20--39,Both
132,1990,34.37889033051145,20--39,Both
132,1995,29.045443145236145,20--39,Both
132,2000,24.127322602707036,20--39,Both
132,2005,19.63909800594775,20--39,Both
132,2010,15.59533865798193,20--39,Both
132,2015,12.010613861833187,20--39,Both
132,2020,4.223392759541072,20--39,Both
132,2025,0,20--39,Both
140,1970,87.69691366239067,20--39,Both
140,1975,78.64486520636964,20--39,Both
140,1980,70.93571689535538,20--39,Both
140,1985,64.5812568579819,20--39,Both
140,1990,59.59327322288322,20--39,Both
140,1995,56.1131735877273,20--39,Both
140,2000,54.34028125484457,20--39,Both
140,2005,54.37325790986276,20--39,Both
140,2010,56.31076523840956,20--39,Both
140,2015,60.25146492611272,20--39,Both
140,2020,46.93866155038553,20--39,Both
140,2025,43.78494603660218,20--39,Both
144,1970,14.469263193206396,20--39,Both
144,1975,12.561752352927392,20--39,Both
144,1980,10.92613029855174,20--39,Both
144,1985,9.56431842894616,20--39,Both
144,1990,8.478238142977379,20--39,Both
144,1995,7.659800235217823,20--39,Both
144,2000,7.093705305865714,20--39,Both
144,2005,6.771059462226471,20--39,Both
144,2010,6.682968811605507,20--39,Both
144,2015,6.82053946130824,20--39,Both
144,2020,4.469589908117842,20--39,Both
144,2025,3.627192151542301,20--39,Both
148,1970,89.8461959261455,20--39,Both
148,1975,85.81545311394768,20--39,Both
148,1980,81.76086074715005,20--39,Both
148,1985,77.59296544122054,20--39,Both
148,1990,73.22231381162716,20--39,Both
148,1995,68.797308427697,20--39,Both
148,2000,64.68711505552268,20--39,Both
148,2005,61.13342510572048,20--39,Both
148,2010,58.37792998890663,20--39,Both
148,2015,56.66232111569745,20--39,Both
148,2020,50.5563465427804,20--39,Both
148,2025,46.69575702812892,20--39,Both
152,1970,9.699058482741393,20--39,Both
152,1975,8.243221563615558,20--39,Both
152,1980,6.942805939933925,20--39,Both
152,1985,5.796383157457663,20--39,Both
152,1990,4.802524761947942,20--39,Both
152,1995,3.971438508343222,20--39,Both
152,2000,3.3208341477558077,20--39,Both
152,2005,2.8605362202076288,20--39,Both
152,2010,2.6003692657206132,20--39,Both
152,2015,2.5501578243166936,20--39,Both
152,2020,0.6617611907897665,20--39,Both
152,2025,0,20--39,Both
156,1970,50.32589226536864,20--39,Both
156,1975,42.810976808024655,20--39,Both
156,1980,35.8566502244904,20--39,Both
156,1985,29.466515703179482,20--39,Both
156,1990,23.64417643250553,20--39,Both
156,1995,18.39926275383603,20--39,Both
156,2000,13.741786077350755,20--39,Both
156,2005,9.675921194681758,20--39,Both
156,2010,6.205842897461092,20--39,Both
156,2015,3.335725977320818,20--39,Both
156,2020,0,20--39,Both
156,2025,0,20--39,Both
158,1970,21.62556234318331,20--39,Both
158,1975,18.21080847023153,20--39,Both
158,1980,15.145617105235928,20--39,Both
158,1985,12.429272940921447,20--39,Both
158,1990,10.061060670013028,20--39,Both
158,1995,8.034098214182206,20--39,Both
158,2000,6.339070321217964,20--39,Both
158,2005,4.971611923021421,20--39,Both
158,2010,3.9273579514936907,20--39,Both
158,2015,3.201943338535892,20--39,Both
158,2020,0,20--39,Both
158,2025,0,20--39,Both
170,1970,17.827747509611438,20--39,Both
170,1975,15.011445294503755,20--39,Both
170,1980,12.546941044444713,20--39,Both
170,1985,10.43642750996346,20--39,Both
170,1990,8.682097441589136,20--39,Both
170,1995,7.280199763384977,20--39,Both
170,2000,6.221287395147592,20--39,Both
170,2005,5.499009081006193,20--39,Both
170,2010,5.107013565089992,20--39,Both
170,2015,5.038949591528201,20--39,Both
170,2020,1.5745391126772907,20--39,Both
170,2025,0.15807134777734694,20--39,Both
174,1970,56.570253309516644,20--39,Both
174,1975,51.47768299361176,20--39,Both
174,1980,47.15418923881229,20--39,Both
174,1985,43.62924588258526,20--39,Both
174,1990,40.93232676239772,20--39,Both
174,1995,39.1343749239781,20--39,Both
174,2000,38.30325341607153,20--39,Both
174,2005,38.4638160806701,20--39,Both
174,2010,39.64091675976588,20--39,Both
174,2015,41.85940929535096,20--39,Both
174,2020,34.50045503983989,20--39,Both
174,2025,32.82480198048786,20--39,Both
178,1970,67.91261538885593,20--39,Both
178,1975,59.84546293302668,20--39,Both
178,1980,52.46970756415729,20--39,Both
178,1985,45.77101000781881,20--39,Both
178,1990,39.73503098958228,20--39,Both
178,1995,34.33943209440085,20--39,Both
178,2000,29.56198602705751,20--39,Both
178,2005,25.388520192868103,20--39,Both
178,2010,21.804861997148432,20--39,Both
178,2015,18.796838845214335,20--39,Both
178,2020,9.637386499418708,20--39,Both
178,2025,4.196448298583326,20--39,Both
180,1970,71.46074801469467,20--39,Both
180,1975,64.10210066414766,20--39,Both
180,1980,57.280208250617406,20--39,Both
180,1985,51.00179544461231,20--39,Both
180,1990,45.273586916640774,20--39,Both
180,1995,40.07154286398943,20--39,Both
180,2000,35.34646989569607,20--39,Both
180,2005,31.06736229989584,20--39,Both
180,2010,27.20321436472385,20--39,Both
180,2015,23.72302037831527,20--39,Both
180,2020,15.614204800120147,20--39,Both
180,2025,10.3344229620814,20--39,Both
188,1970,9.199598953512796,20--39,Both
188,1975,7.9921435690061795,20--39,Both
188,1980,6.897018778593425,20--39,Both
188,1985,5.912681609188343,20--39,Both
188,1990,5.037589087704748,20--39,Both
188,1995,4.261651783834133,20--39,Both
188,2000,3.5714139074290316,20--39,Both
188,2005,2.9602829456448165,20--39,Both
188,2010,2.421666385636855,20--39,Both
188,2015,1.94897171456052,20--39,Both
188,2020,0.62922170657622,20--39,Both
188,2025,0,20--39,Both
191,1970,7.676904975775508,20--39,Both
191,1975,6.233688269525569,20--39,Both
191,1980,4.957862801709673,20--39,Both
191,1985,3.849473541000477,20--39,Both
191,1990,2.908565456070635,20--39,Both
191,1995,2.132129022642028,20--39,Both
191,2000,1.5153222049448511,20--39,Both
191,2005,1.0554412044142263,20--39,Both
191,2010,0.749782222485277,20--39,Both
191,2015,0.5956414605931278,20--39,Both
191,2020,0,20--39,Both
191,2025,0,20--39,Both
192,1970,7.071387823095462,20--39,Both
192,1975,5.6671203814636835,20--39,Both
192,1980,4.45207692420519,20--39,Both
192,1985,3.42380265771067,20--39,Both
192,1990,2.5798427883708177,20--39,Both
192,1995,1.9099126060403748,20--39,Both
192,2000,1.402647082379993,20--39,Both
192,2005,1.0539709464892286,20--39,Both
192,2010,0.8598089274676356,20--39,Both
192,2015,0.8160857544147695,20--39,Both
192,2020,0,20--39,Both
192,2025,0,20--39,Both
196,1970,13.99423000796225,20--39,Both
196,1975,11.276101778969865,20--39,Both
196,1980,8.885871816765492,20--39,Both
196,1985,6.822555577828981,20--39,Both
196,1990,5.085168518640176,20--39,Both
196,1995,3.66425459467009,20--39,Both
196,2000,2.5469878626840554,20--39,Both
196,2005,1.7273289311033853,20--39,Both
196,2010,1.1992384083493952,20--39,Both
196,2015,0.9566769028434015,20--39,Both
196,2020,0,20--39,Both
196,2025,0,20--39,Both
203,1970,1.5640276373959248,20--39,Both
203,1975,1.1813118120022577,20--39,Both
203,1980,0.8602303578422322,20--39,Both
203,1985,0.6008190526990801,20--39,Both
203,1990,0.4031136743560328,20--39,Both
203,1995,0.26527014052155334,20--39,Both
203,2000,0.1843030450604085,20--39,Both
203,2005,0.15853617999028477,20--39,Both
203,2010,0.18629333732886877,20--39,Both
203,2015,0.2658983090938472,20--39,Both
203,2020,0,20--39,Both
203,2025,0,20--39,Both
204,1970,86.61760801807647,20--39,Both
204,1975,81.717221494121,20--39,Both
204,1980,77.3386407613941,20--39,Both
204,1985,73.51098811603622,20--39,Both
204,1990,70.26338585418769,20--39,Both
204,1995,67.57213682557577,20--39,Both
204,2000,65.35863164643958,20--39,Both
204,2005,63.569624262687356,20--39,Both
