country_code,name,year,age_group,sex,mean_skills,oecd_standard,saf
440,Lithuania,1975,20--39,Female,279.3128213003402,269.7014710297242,1.0356369960976473
440,Lithuania,1980,20--39,Female,276.9048789569793,269.7014710297242,1.026708819569105
440,Lithuania,1985,20--39,Female,275.84571428773467,269.7014710297242,1.0227816453301188
440,Lithuania,1990,20--39,Female,273.8170633279429,269.7014710297242,1.01525980663919
440,Lithuania,1995,20--39,Female,271.9490069056336,269.7014710297242,1.0083334209017412
440,Lithuania,2000,20--39,Female,272.9642229801805,269.7014710297242,1.0120976423969772
440,Lithuania,2005,20--39,Female,272.6690558328309,269.7014710297242,1.0110032206786876
440,Lithuania,2010,20--39,Female,274.38443977099644,269.7014710297242,1.0173635268780425
440,Lithuania,2015,20--39,Female,276.44116715717877,269.7014710297242,1.024989467434947
440,Lithuania,2020,20--39,Female,250.77728088543225,269.7014710297242,0.9298328256348062
440,Lithuania,2025,20--39,Female,253.4950232314087,269.7014710297242,0.9399096796304484
440,Lithuania,1970,20--39,Male,280.7072098529975,269.7014710297242,1.0408071145524467
440,Lithuania,1975,20--39,Male,278.2491686883843,269.7014710297242,1.0316931814499375
440,Lithuania,1980,20--39,Male,275.5666794063775,269.7014710297242,1.021747038880655
440,Lithuania,1985,20--39,Male,270.16515112683106,269.7014710297242,1.0017192345868065
440,Lithuania,1990,20--39,Male,268.64647919460464,269.7014710297242,0.9960882978090866
440,Lithuania,1995,20--39,Male,267.22357282577093,269.7014710297242,0.9908124409018141
440,Lithuania,2000,20--39,Male,265.1874195241335,269.7014710297242,0.9832627850031518
440,Lithuania,2005,20--39,Male,267.3627690204561,269.7014710297242,0.9913285530095964
440,Lithuania,2010,20--39,Male,270.1107597706,269.7014710297242,1.0015175621375483
440,Lithuania,2015,20--39,Male,271.3573800542679,269.7014710297242,1.0061397849193088
440,Lithuania,2020,20--39,Male,250.3393831168831,269.7014710297242,0.9282091868504968
440,Lithuania,2025,20--39,Male,253.7441745651669,269.7014710297242,0.940833483763985
440,Lithuania,1970,20--64,Both,271.23165498766707,262.58093963833664,1.0329449477987451
440,Lithuania,1975,20--64,Both,270.7924845434712,262.58093963833664,1.0312724332407548
440,Lithuania,1980,20--64,Both,269.5727410868025,262.58093963833664,1.026627223811812
440,Lithuania,1985,20--64,Both,267.7414728062975,262.58093963833664,1.0196531141029073
440,Lithuania,1990,20--64,Both,267.083874149615,262.58093963833664,1.01714874856294
440,Lithuania,1995,20--64,Both,266.7684339618336,262.58093963833664,1.0159474420697272
440,Lithuania,2000,20--64,Both,266.2910944250864,262.58093963833664,1.0141295662657765
