country_code,year,age_group,sex,saf_dhs_mics
24,2010,40--64,Both,0.5830208118430209
24,2015,20--39,Female,0.43119368052874857
24,2015,20--64,Female,0.4052080633343979
24,2015,40--64,Female,0.30119296717229965
24,2015,20--39,Male,0.7199614901752641
24,2015,20--64,Male,0.7210488382531911
24,2015,40--64,Male,0.7271039305515737
24,2015,20--39,Both,0.5756383153780551
24,2015,20--64,Both,0.5631355258901025
24,2015,40--64,Both,0.5141252865382719
50,2005,20--39,Female,0.49937036109855865
50,2005,20--64,Female,0.44649975938048714
50,2005,40--64,Female,0.27519681555213305
50,2005,20--39,Male,0.525528835675898
50,2005,20--64,Male,0.5037093315111489
50,2005,40--64,Male,0.4788018735296257
50,2005,20--39,Both,0.5124664901178118
50,2005,20--64,Both,0.4751067676464848
50,2005,40--64,Both,0.3769929240453133
50,2010,20--39,Female,0.5970729870833332
50,2010,20--64,Female,0.5525164160393498
50,2010,40--64,Female,0.29591840782623735
50,2010,20--39,Male,0.5202294555941637
50,2010,20--64,Male,0.48521401230985256
50,2010,40--64,Male,0.4446816326095022
50,2010,20--39,Both,0.5586526745445755
50,2010,20--64,Both,0.5188653172301704
50,2010,40--64,Both,0.37029869191823944
50,2015,20--39,Female,0.5946849516594983
50,2015,20--64,Female,0.5210552475974182
50,2015,40--64,Female,0.2944300930643768
50,2015,20--39,Male,0.6419034201793147
50,2015,20--64,Male,0.5712163210467411
50,2015,40--64,Male,0.43604412152705146
50,2015,20--39,Both,0.6183170871278312
50,2015,20--64,Both,0.5461380593969213
50,2015,40--64,Both,0.3652362942738231
50,2020,20--39,Female,0.7067323363814928
50,2020,20--64,Female,0.6489794144551275
50,2020,40--64,Female,0.36375349284917524
50,2020,20--39,Male,0.726670097632948
50,2020,20--64,Male,0.6777423363634736
50,2020,40--64,Male,0.48061351724648993
50,2020,20--39,Both,0.7167221615182479
50,2020,20--64,Both,0.6633630628807551
50,2020,40--64,Both,0.42218711674797704
52,2010,20--39,Female,1.0125869618369032
52,2010,20--64,Female,1.0105390488407542
52,2010,40--64,Female,1.0094775169771593
64,2010,20--39,Female,0.32944104886021347
64,2010,20--64,Female,0.334371586606088
64,2010,40--64,Female,0.08693517995014355
64,2010,20--39,Male,0.5307198580166438
64,2010,20--64,Male,0.5301806825434977
64,2010,40--64,Male,0.37786456407215957
64,2010,20--39,Both,0.4301234987014281
64,2010,20--64,Both,0.43228073051829413
64,2010,40--64,Both,0.23237983824050903
68,2010,20--39,Female,0.927073190966991
68,2010,20--64,Female,0.8912674391305214
68,2010,40--64,Female,0.7875762555034811
68,2010,20--39,Male,0.9913244924907025
68,2010,20--64,Male,0.9673743254975649
68,2010,40--64,Male,0.9483156627000701
68,2010,20--39,Both,0.959232920682332
68,2010,20--64,Both,0.9293245880448341
68,2010,40--64,Both,0.8679611110106542
70,2005,20--39,Female,0.998940936527587
70,2005,20--64,Female,0.9940166806444002
70,2005,40--64,Female,0.9816974337553456
70,2005,20--39,Male,1.0079613210848533
70,2005,20--64,Male,1.0136335412435444
70,2005,40--64,Male,1.017087688952451
70,2005,20--39,Both,1.0034774114317309
70,2005,20--64,Both,1.0038279930200213
70,2005,40--64,Both,0.9994245555869252
70,2010,20--39,Female,1.0000773542690842
70,2010,20--64,Female,0.9974188458501403
70,2010,40--64,Female,0.9939029422871378
70,2010,20--39,Male,1.0092163948053805
70,2010,20--64,Male,1.0100538997001516
70,2010,40--64,Male,1.0133195611753312
70,2010,20--39,Both,1.0046732058534102
70,2010,20--64,Both,1.0037391296133624
70,2010,40--64,Both,1.0036449479123073
84,2005,20--39,Female,0.8644144705392719
84,2005,20--64,Female,0.8731899667626323
84,2005,40--64,Female,0.8274242526488583
84,2005,20--39,Male,0.8685372166089963
84,2005,20--64,Male,0.855093068330219
84,2005,40--64,Male,0.8049774805207746
84,2005,20--39,Both,0.8664979482885179
84,2005,20--64,Both,0.8641433721640742
84,2005,40--64,Both,0.816231986539285
84,2010,20--39,Female,0.8488410219077137
84,2010,20--64,Female,0.8471038946476221
84,2010,40--64,Female,0.7559547653982284
84,2010,20--39,Male,0.852125654571174
84,2010,20--64,Male,0.8297235648973013
84,2010,40--64,Male,0.7392270222994808
84,2010,20--39,Both,0.8505049122942449
84,2010,20--64,Both,0.8384155323564201
84,2010,40--64,Both,0.7476190254333411
84,2015,20--39,Female,0.8992178929348525
84,2015,20--64,Female,0.8864999853584422
84,2015,40--64,Female,0.7925684824683478
84,2015,20--39,Male,0.8730173162180056
84,2015,20--64,Male,0.8740744447322533
84,2015,40--64,Male,0.805727405977969
84,2015,20--39,Both,0.8861353137247934
84,2015,20--64,Both,0.8802892119187931
84,2015,40--64,Both,0.7991749992781324
104,2015,20--39,Female,0.8033399806239899
104,2015,20--64,Female,0.7790101551699389
104,2015,40--64,Female,0.726053919487665
104,2015,20--39,Male,0.8252042441931184
104,2015,20--64,Male,0.8206042895142952
104,2015,40--64,Male,0.8133246063554708
104,2015,20--39,Both,0.8142957814573111
104,2015,20--64,Both,0.799809983570985
104,2015,40--64,Both,0.7697080710749747
108,2005,20--39,Female,0.4814525042623889
108,2005,20--64,Female,0.45756219449739843
108,2005,40--64,Female,0.2526867238453614
108,2005,20--39,Male,0.6672063450000668
108,2005,20--64,Male,0.6492963837206879
108,2005,40--64,Male,0.5129466711153357
108,2005,20--39,Both,0.5743735400580068
108,2005,20--64,Both,0.5534341175372597
108,2005,40--64,Both,0.38280497731931007
108,2010,20--39,Female,0.5657866974933956
108,2010,20--64,Female,0.5159536372594149
108,2010,40--64,Female,0.33038215248939057
108,2010,20--39,Male,0.7411593450213348
108,2010,20--64,Male,0.6880745430667636
